CompName,NewEhullLst,EWaldSumLst,EFormLst,RDiffLst,RDiffStdLst,RDiffNaLst,EleNegStdLst,XDiffLst,AnionXStdLst,XWithNaLst,ChgDiffLst,ChgStdLst,AnionChgStdLst,NNaLst,RRatioNaLst
NaTaSiSn(PO6)2,-3.656040975563954,-53.51875524683281,-2.394147399537038,0.04999999999999993,0.024999999999999967,-0.355,0.22999999999999998,0.45999999999999996,0.1367073110293992,0.7999999999999999,1.0,0.5,0.4714045207910317,1.0,0.6519607843137255
NaHfNbSi(PO6)2,-1.4504649338584947,-53.37134196872331,-2.684087852314816,0.06999999999999995,0.034999999999999976,-0.345,0.15000000000000002,0.30000000000000004,0.1367073110293992,0.5200000000000001,1.0,0.5,0.4714045207910317,1.0,0.6617647058823529
NaHfTaSi(PO6)2,-2.53701875334313,-53.48457318636666,-2.7491134634259278,0.06999999999999995,0.034999999999999976,-0.345,0.09999999999999998,0.19999999999999996,0.1367073110293992,0.46999999999999986,1.0,0.5,0.4714045207910317,1.0,0.6617647058823529
NaNb2Si2PO12,-13.067063755964012,-52.63508290775306,-2.569724882407408,0.0,0.0,-0.38,0.0,0.0,0.1367073110293992,0.67,0.0,0.0,0.4714045207910317,1.0,0.6274509803921569
Na3Mg3Al(SO4)6,-10.611164803329398,-58.62959204145511,-1.9002481500000006,0.18499999999999994,0.08010734985006054,-0.34624999999999995,0.1299038105676658,0.30000000000000004,0.0,0.45499999999999996,1.0,0.4330127018922193,0.0,1.5,0.6605392156862746
Na3Mg3Sc(SO4)6,-15.711750388929069,-58.313021867968025,-1.9566636121621623,0.025000000000000022,0.010825317547305494,-0.29374999999999996,0.021650635094610987,0.050000000000000044,0.0,0.39249999999999996,1.0,0.4330127018922193,0.0,1.5,0.7120098039215687
Na3YMg3(SO4)6,-9.966266154680037,-58.189711515473945,-1.9732073486486468,0.18000000000000005,0.07794228634059949,-0.255,0.038971143170299774,0.09000000000000008,0.0,0.35750000000000004,1.0,0.4330127018922193,0.0,1.5,0.75
Na3Mg3In(SO4)6,-7.547887776303597,-58.20791862861331,-1.8176031378378372,0.08000000000000007,0.03464101615137758,-0.28,0.20351596988934306,0.47,0.0,0.49749999999999994,1.0,0.4330127018922193,0.0,1.5,0.7254901960784313
Na9Mg10.5Zr1.5S18O72,-27.828304243229354,-58.460374250563696,-1.9092873328828823,0.0,1.1102230246251565e-16,-0.29999999999999993,0.005749595745760694,0.020000000000000018,0.0,0.38249999999999995,2.0,0.5749595745760689,0.0,1.5,0.7058823529411765
Na9Mg10.5Ti1.5S18O72,-22.084931495483964,-58.58643768207106,-1.895173550225224,0.11499999999999999,0.03306017553812396,-0.31437500000000007,0.06612035107624792,0.22999999999999998,0.0,0.40875000000000006,2.0,0.5749595745760689,0.0,1.5,0.6917892156862745
